timestamp,open,high,low,close,volume
2026-09-08T13:30:00Z,357.25,362.218,355.8,361.365,1.96255e+06
2026-09-08T13:35:00Z,361.49,362.42,359.26,359.33,986106
2026-09-08T13:40:00Z,359.335,359.49,356.25,357.67,808622
2026-09-08T13:45:00Z,357.68,359,357.15,358.477,462564
2026-09-08T13:50:00Z,358.525,358.79,357.1,358.67,407723
2026-09-08T13:55:00Z,358.68,360.62,358.635,360.175,632172
2026-09-08T14:00:00Z,360.2,361.33,358.37,361.305,671613
2026-09-08T14:05:00Z,361.32,362.62,360.98,361.55,833694
2026-09-08T14:10:00Z,361.55,362.18,360.15,361.987,531646
2026-09-08T14:15:00Z,361.945,362.5,360.25,361.825,473655
2026-09-08T14:20:00Z,361.86,364.75,361.22,363.955,885996
2026-09-08T14:25:00Z,363.95,364.05,362.1,363.37,515313
2026-09-08T14:30:00Z,363.398,364.6,363.02,364.458,517366
2026-09-08T14:35:00Z,364.47,364.99,364.003,364.525,432616
2026-09-08T14:40:00Z,364.525,365.08,363.52,364.5,555012
2026-09-08T14:45:00Z,364.535,364.565,362.96,363.785,395659
2026-09-08T14:50:00Z,364.22,364.27,363.91,363.98,24626
2026-09-08T14:55:00Z,364.37,364.82,364.37,364.65,70032
2026-09-08T15:00:00Z,365.11,366.36,364.87,365.765,585887
2026-09-08T15:05:00Z,365.74,366.24,364.28,364.9,424100
2026-09-08T15:10:00Z,364.876,365.5,364.329,364.73,361890
2026-09-08T15:15:00Z,364.997,365.48,364.81,365.41,70702
2026-09-08T15:20:00Z,365.51,366.83,365.2,366.65,401505
2026-09-08T15:25:00Z,366.65,367.95,366.64,367.83,575616
2026-09-08T15:30:00Z,367.82,368.24,366.431,366.52,508477
2026-09-08T15:35:00Z,366.54,366.67,365.1,365.67,430989
2026-09-08T15:40:00Z,365.56,366.88,365.52,366.065,285786
2026-09-08T15:45:00Z,366.13,367.01,365.87,366.09,220404
2026-09-08T15:50:00Z,366.14,367.3,365.9,367.175,201031
2026-09-08T15:55:00Z,367.2,368.15,367,367.77,334836
2026-09-08T16:00:00Z,367.78,367.85,366.92,367.6,282558
2026-09-08T16:05:00Z,368.23,368.23,368.02,368.05,16173
2026-09-08T16:10:00Z,367.275,367.62,366.6,367.595,221733
2026-09-08T16:15:00Z,367.6,367.86,367.34,367.5,174040
2026-09-08T16:20:00Z,367.5,368.23,367.3,368.19,225167
2026-09-08T16:25:00Z,368.21,369.01,368.03,368.22,426205
2026-09-08T16:30:00Z,368.19,368.85,368,368.442,275225
2026-09-08T16:35:00Z,368.46,368.97,368.24,368.83,227382
2026-09-08T16:40:00Z,368.83,369.28,368.67,369.19,304111
2026-09-08T16:45:00Z,369.18,369.21,368.49,369.05,273545
2026-09-08T16:50:00Z,369.05,369.68,368.31,369.03,404435
2026-09-08T16:55:00Z,369.06,369.06,367.87,368.27,266462
2026-09-08T17:00:00Z,368.23,370,368.23,368.806,366909
2026-09-08T17:05:00Z,368.8,369.62,368.8,369.01,160290
2026-09-08T17:10:00Z,368.73,369.075,368.18,368.37,148328
2026-09-08T17:15:00Z,368.43,368.67,367.32,367.8,261814
2026-09-08T17:20:00Z,367.78,367.89,367.25,367.38,161112
2026-09-08T17:25:00Z,367.39,367.85,367.3,367.52,171683
2026-09-08T17:30:00Z,367.525,367.99,367.5,367.83,165250
2026-09-08T17:35:00Z,367.795,367.91,367.14,367.251,161296
2026-09-08T17:40:00Z,367.27,367.33,366.47,366.57,275616
2026-09-08T17:45:00Z,366.56,366.91,366.34,366.6,185314
2026-09-08T17:50:00Z,366.6,366.65,366.16,366.455,145917
2026-09-08T17:55:00Z,366.455,366.46,365.74,365.78,184919
2026-09-08T18:00:00Z,365.797,366.31,365.74,366.185,168086
2026-09-08T18:05:00Z,366.185,366.38,365.88,366.02,135183
2026-09-08T18:10:00Z,365.97,366.45,365.75,365.94,161276
2026-09-08T18:15:00Z,365.91,366.36,365.91,366.36,104362
2026-09-08T18:20:00Z,366.31,366.45,366,366.13,102778
2026-09-08T18:25:00Z,366.13,366.2,365.45,365.545,144848
2026-09-08T18:30:00Z,365.58,365.639,365.15,365.3,167264
2026-09-08T18:35:00Z,365.34,366.04,365.315,365.86,142637
2026-09-08T18:40:00Z,365.87,366.54,365.85,366.467,177855
2026-09-08T18:45:00Z,366.46,367.93,364.85,365.95,487015
2026-09-08T18:50:00Z,365.95,367.147,365.85,367.01,242495
2026-09-08T18:55:00Z,367.02,367.39,366.662,367.055,202464
2026-09-08T19:00:00Z,367.03,367.18,366.51,366.78,151175
2026-09-08T19:05:00Z,366.825,367.44,366.8,367.145,158792
2026-09-08T19:10:00Z,367.11,367.51,367.095,367.3,153344
2026-09-08T19:15:00Z,367.3,367.33,366.71,366.78,157975
2026-09-08T19:20:00Z,366.78,367.07,366.539,366.87,162824
2026-09-08T19:25:00Z,366.9,368.34,366.888,368.275,261487
2026-09-08T19:30:00Z,368.28,368.38,367.78,368,254707
2026-09-08T19:35:00Z,368.03,368.287,367.78,367.91,200761
2026-09-08T19:40:00Z,367.89,368.07,367.47,367.97,209413
2026-09-08T19:45:00Z,367.98,368.5,367.36,368.495,356848
2026-09-08T19:50:00Z,368.52,368.8,367.696,368.16,461400
2026-09-08T19:55:00Z,368.195,368.56,367.46,368.04,836441
2026-09-09T13:30:00Z,368.38,375.44,367.83,373.95,1.60396e+06
2026-09-09T13:35:00Z,373.925,374.15,370.4,371.79,744261
2026-09-09T13:40:00Z,371.708,373.66,371.35,373.62,501794
2026-09-09T13:45:00Z,373.635,374.73,372.407,373.42,661639
2026-09-09T13:50:00Z,373.444,373.74,371.1,371.3,468151
2026-09-09T13:55:00Z,371.39,371.95,370.68,371.08,358300
2026-09-09T14:00:00Z,371.03,371.67,369.95,371.17,424791
2026-09-09T14:05:00Z,371.2,373.131,370.86,371.985,508492
2026-09-09T14:10:00Z,371.98,372.173,369.81,371.25,429105
2026-09-09T14:15:00Z,371.21,372.27,370.82,371.61,304847
2026-09-09T14:20:00Z,371.61,371.85,371.41,371.651,77402
2026-09-09T14:25:00Z,370.87,371.92,370.511,371.27,251442
2026-09-09T14:30:00Z,371.27,373,371.04,372.84,341494
2026-09-09T14:35:00Z,372.33,372.336,371.734,371.925,40567
2026-09-09T14:40:00Z,371.714,371.779,370.37,371.76,304849
2026-09-09T14:45:00Z,371.755,373.6,371.56,373.28,398131
2026-09-09T14:50:00Z,373.27,373.55,372.14,373.185,312117
2026-09-09T14:55:00Z,373.24,373.4,371.065,371.31,263337
2026-09-09T15:00:00Z,371.31,371.83,370.05,370.05,338876
2026-09-09T15:05:00Z,370.085,370.49,368.75,369.145,410621
2026-09-09T15:10:00Z,369.12,369.46,367.84,368.58,382656
2026-09-09T15:15:00Z,368.541,368.87,368.2,368.418,216709
2026-09-09T15:20:00Z,368.415,368.76,367.25,367.49,491077
2026-09-09T15:25:00Z,367.49,368.77,367.31,368.68,292200
2026-09-09T15:30:00Z,368.675,369.38,368.57,369.365,287185
2026-09-09T15:35:00Z,369.365,371.18,369.18,371.11,301702
2026-09-09T15:40:00Z,371.128,371.28,369.642,370.21,314324
2026-09-09T15:45:00Z,370.18,370.49,369.87,370.245,158348
2026-09-09T15:50:00Z,370.245,370.75,370.01,370.62,185413
2026-09-09T15:55:00Z,370.606,370.683,370.19,370.625,96687
2026-09-09T16:00:00Z,370.62,371.12,370.55,370.665,145964
2026-09-09T16:05:00Z,370.683,371,369.83,369.96,194267
2026-09-09T16:10:00Z,369.925,371.11,369.83,370.636,187729
2026-09-09T16:15:00Z,370.61,370.76,369.79,370.05,160016
2026-09-09T16:20:00Z,370.05,370.45,368.836,369.52,241931
2026-09-09T16:25:00Z,369.52,369.64,368.56,368.735,153986
2026-09-09T16:30:00Z,368.76,369.44,368.73,369.21,166717
2026-09-09T16:35:00Z,369.13,369.36,368.794,369.095,96051
2026-09-09T16:40:00Z,369.13,369.51,368.9,369.345,105742
2026-09-09T16:45:00Z,369.38,370.9,369.3,370.185,220808
2026-09-09T16:50:00Z,370.18,370.33,369.012,369.082,161358
2026-09-09T16:55:00Z,369.055,369.19,368.72,368.804,115848
2026-09-09T17:00:00Z,368.81,369.41,368.4,368.435,128784
2026-09-09T17:05:00Z,368.445,368.82,368.36,368.485,106163
2026-09-09T17:10:00Z,368.45,368.63,368.25,368.53,99995
2026-09-09T17:15:00Z,368.53,368.69,368.261,368.261,96126
2026-09-09T17:20:00Z,368.35,368.36,367.78,368.07,163021
2026-09-09T17:25:00Z,368.055,368.31,367.89,368.165,103764
2026-09-09T17:30:00Z,368.13,369.15,368.05,369.1,138893
2026-09-09T17:35:00Z,369.105,369.2,368.75,368.867,119247
2026-09-09T17:40:00Z,368.865,369.08,368.46,368.86,84717
2026-09-09T17:45:00Z,368.86,368.91,368.385,368.67,65210
2026-09-09T17:50:00Z,368.63,368.89,368.175,368.87,108811
2026-09-09T17:55:00Z,368.9,369.13,368.65,368.94,106424
2026-09-09T18:00:00Z,368.96,369.25,368.6,368.76,93861
2026-09-09T18:05:00Z,368.73,368.99,368.01,368.175,92805
2026-09-09T18:10:00Z,368.18,368.29,368.15,368.271,1490
2026-09-09T18:15:00Z,368.34,369.19,368.32,368.82,115001
2026-09-09T18:20:00Z,368.81,369.46,368.81,369.353,130097
2026-09-09T18:25:00Z,369.355,369.9,369.28,369.84,170492
2026-09-09T18:30:00Z,369.845,370.16,369.5,369.635,221626
2026-09-09T18:35:00Z,369.635,369.86,369.25,369.355,111539
2026-09-09T18:40:00Z,369.355,369.39,368.71,368.87,112336
2026-09-09T18:45:00Z,368.87,368.92,368.28,368.32,129151
2026-09-09T18:50:00Z,368.335,368.52,368.1,368.399,142939
2026-09-09T18:55:00Z,368.37,369.23,368.14,369.05,154841
2026-09-09T19:00:00Z,369.016,369.25,368.46,368.97,123813
2026-09-09T19:05:00Z,368.92,369.156,368.71,368.935,88736
2026-09-09T19:10:00Z,368.935,369.55,368.935,369.5,110551
2026-09-09T19:15:00Z,369.49,369.73,369.34,369.356,117656
2026-09-09T19:20:00Z,369.35,369.46,369,369.16,87816
2026-09-09T19:25:00Z,369.12,369.27,368.745,368.92,149490
2026-09-09T19:30:00Z,368.911,369.18,368.76,369.1,116063
2026-09-09T19:35:00Z,369.085,369.3,368.815,369.14,119001
2026-09-09T19:40:00Z,369.155,369.18,368.5,368.7,121992
2026-09-09T19:45:00Z,368.7,369.29,368.55,369.09,141062
2026-09-09T19:50:00Z,369.11,369.3,367.5,367.99,399787
2026-09-09T19:55:00Z,367.98,368.68,367.75,367.8,646031
2026-09-10T13:30:00Z,360.41,362.01,357.68,360.08,1.02363e+06
2026-09-10T13:35:00Z,360.08,362.94,359.25,362.685,623119
2026-09-10T13:40:00Z,362.647,365.389,362.5,365.315,657689
2026-09-10T13:45:00Z,365.389,366.8,364.08,366.304,751970
2026-09-10T13:50:00Z,366.37,366.8,364.55,366.315,460168
2026-09-10T13:55:00Z,366.38,367.07,365.84,366.07,404075
2026-09-10T14:00:00Z,366.14,369.21,366.01,368.34,550177
2026-09-10T14:05:00Z,368.37,369.11,365,367.17,554701
2026-09-10T14:10:00Z,367.13,367.78,365.64,365.82,338347
2026-09-10T14:15:00Z,365.835,366.36,365.1,365.455,243011
2026-09-10T14:20:00Z,365.455,367.3,365,366.69,328602
2026-09-10T14:25:00Z,366.69,367.3,366,366.3,268246
2026-09-10T14:30:00Z,366.245,367.98,366.19,367.269,294191
2026-09-10T14:35:00Z,367.29,368.85,367.24,368.68,360467
2026-09-10T14:40:00Z,368.74,368.83,367.78,368.6,252299
2026-09-10T14:45:00Z,368.62,368.63,367.45,367.86,272054
2026-09-10T14:50:00Z,367.871,367.95,366.97,367.62,193717
2026-09-10T14:55:00Z,367.76,367.879,366.9,367.605,172423
2026-09-10T15:00:00Z,367.6,367.63,365.36,365.448,274876
2026-09-10T15:05:00Z,365.465,366.47,365.43,365.98,257498
2026-09-10T15:10:00Z,365.98,366.995,365.93,366.39,160638
2026-09-10T15:15:00Z,366.4,366.53,365.77,365.86,96722
2026-09-10T15:20:00Z,365.86,365.92,365.23,365.858,162710
2026-09-10T15:25:00Z,365.81,366.85,365.54,366.16,208337
2026-09-10T15:30:00Z,366.08,366.241,365.3,365.33,154135
2026-09-10T15:35:00Z,365.44,366.87,365.42,365.98,196653
2026-09-10T15:40:00Z,366.02,366.9,365.91,366.865,145626
2026-09-10T15:45:00Z,366.83,367,366.33,366.915,154662
2026-09-10T15:50:00Z,366.87,366.87,365.852,365.9,141760
2026-09-10T15:55:00Z,365.94,366.85,365.63,366.799,234678
2026-09-10T16:00:00Z,366.75,366.95,366.134,366.17,125308
2026-09-10T16:05:00Z,366.147,366.92,366.1,366.45,116794
2026-09-10T16:10:00Z,366.52,366.67,366.08,366.29,99990
2026-09-10T16:15:00Z,366.36,366.789,366.19,366.423,102350
2026-09-10T16:20:00Z,366.36,366.66,366.12,366.15,74831
2026-09-10T16:25:00Z,366.2,366.477,365.77,366.13,113889
2026-09-10T16:30:00Z,366.1,366.26,365.6,365.76,85991
2026-09-10T16:35:00Z,365.745,366.4,365.307,366.4,151760
2026-09-10T16:40:00Z,366.405,366.78,366.205,366.78,120519
2026-09-10T16:45:00Z,366.75,367.43,366.25,366.33,205715
2026-09-10T16:50:00Z,366.35,366.43,365.45,366.09,180797
2026-09-10T16:55:00Z,366.1,366.2,365.74,365.85,61765
2026-09-10T17:00:00Z,365.815,366.45,365.64,366.176,123708
2026-09-10T17:05:00Z,366.215,366.45,365.92,365.985,113354
2026-09-10T17:10:00Z,365.96,366.24,365.92,366.04,73192
2026-09-10T17:15:00Z,366.12,366.49,366.06,366.17,76232
2026-09-10T17:20:00Z,366.182,366.44,366.09,366.44,65648
2026-09-10T17:25:00Z,366.44,367.173,366.2,366.83,145105
2026-09-10T17:30:00Z,366.86,367.57,366.71,367.225,145376
2026-09-10T17:35:00Z,367.26,367.85,366.1,366.2,255128
2026-09-10T17:40:00Z,366.171,367.56,366,367.382,174584
2026-09-10T17:45:00Z,367.385,367.5,366.3,366.39,88864
2026-09-10T17:50:00Z,366.47,366.66,366.19,366.43,77660
2026-09-10T17:55:00Z,366.44,366.495,365.35,365.457,134320
2026-09-10T18:00:00Z,365.455,365.9,365.31,365.415,137141
