timestamp,open,high,low,close,volume
2026-09-08T14:00:00Z,493.18,502.42,489.1,502.375,2.07909e+06
2026-09-08T15:00:00Z,502.41,509.03,501.36,508.93,905129
2026-09-08T16:00:00Z,509.473,510.563,508.5,509.295,159167
2026-09-08T17:00:00Z,509.38,510,509.19,510,13874
2026-09-08T18:00:00Z,508.11,508.8,505.65,506.57,859012
2026-09-08T19:00:00Z,506.62,507.03,503.17,505.53,1.51847e+06
2026-09-09T14:00:00Z,524.16,526.79,518.23,522.6,1.89526e+06
2026-09-09T15:00:00Z,522.655,525.68,517.367,525.56,1.33553e+06
2026-09-09T16:00:00Z,525.51,525.739,520.93,523.83,1.03651e+06
2026-09-09T17:00:00Z,523.77,524.89,521.25,523.55,619528
2026-09-09T18:00:00Z,523.5,524.25,520.945,521.06,521241
2026-09-09T19:00:00Z,521.13,521.77,518.65,521.08,1.26805e+06
